"title","platform","creator_name","creator_url","source_url","embed_url","thumbnail_url","github_url","categories","source_type","embed_status","publication_status","weight","collected_from","collected_category","collected_at"
"Streamlit Components Hub","Streamlit","jrieke","https://github.com/jrieke","https://components.streamlit.app","https://components.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/aea21baa-dc90-4708-bf7a-0f71b770789a/Home_Page.png","https://github.com/jrieke/components-hub","Trending; Favorites","curated","unverified","review","44777","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Weebsugpt","Streamlit","wvsu-mis","https://github.com/wvsu-mis","https://wvsu-mis-weebsugpt.streamlit.app","https://wvsu-mis-weebsugpt.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/e0f66ceb-15a8-474a-b518-52d5f26dbc98/Home_Page.png","https://github.com/wvsu-mis/weebsugpt","LLMs","curated","unverified","review","43929","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Chat with the Streamlit docs, powered by LlamaIndex","Streamlit","carolinefrasca","https://github.com/carolinefrasca","https://llamaindex-chat-with-docs.streamlit.app","https://llamaindex-chat-with-docs.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/40edf984-59f4-400d-aa13-a7e769ac4a35/Home_Page.png","https://github.com/carolinefrasca/llamaindex-chat-with-streamlit-docs","Trending; LLMs","curated","unverified","review","38954","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Image Background Remover","Streamlit","tyler-simons","https://github.com/tyler-simons","https://bgremoval.streamlit.app","https://bgremoval.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/d34e32f8-e7e5-40ab-9714-8aad9717109a/Home_Page.png","https://github.com/tyler-simons/backgroundremoval","Trending; Favorites","curated","unverified","review","33108","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"LangChain: Chat with search","Streamlit","langchain-ai","https://github.com/langchain-ai","https://langchain-chat-search.streamlit.app","https://langchain-chat-search.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/25e512eb-7906-428d-97a7-52bb6d635467/Home_Page.png","https://github.com/langchain-ai/streamlit-agent","Trending; LLMs","curated","unverified","review","29855","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Streamlit folium documentation","Streamlit","randyzwitch","https://github.com/randyzwitch","https://folium.streamlit.app","https://folium.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/8071c62b-9334-4d57-a848-bc99381cdfa9/Home_Page.png","https://github.com/randyzwitch/streamlit-folium","Other; Favorites","curated","unverified","review","29323","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"🏆 LLM Leaderboard","Streamlit","ludwigstumpp","https://github.com/ludwigstumpp","https://llm-leaderboard.streamlit.app","https://llm-leaderboard.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/74c4999f-862d-4791-847a-748c1183a77d/Home_Page.png","https://github.com/ludwigstumpp/llm-leaderboard","LLMs","curated","unverified","review","28798","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"GPT Lab","Streamlit","dclin","https://github.com/dclin","https://gptlab.streamlit.app","https://gptlab.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/aec6a2d8-66c6-4332-98db-0dbcf495a5d4/Home_Page.png","https://github.com/dclin/gptlab-streamlit","Trending; LLMs","curated","unverified","review","27574","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Prophet","Streamlit","maximelutel","https://github.com/maximelutel","https://prophet.streamlit.app","https://prophet.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/8bcc6461-0a44-470f-a3fd-b1b0661648b0/Home_Page.png","https://github.com/maximelutel/streamlit_prophet","Favorites; Other","curated","unverified","review","26825","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Data Engineering Zoomcamp 2023","Streamlit","hamagistral","https://github.com/hamagistral","https://dezoomcamp.streamlit.app","https://dezoomcamp.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/783b4acd-7369-4bec-8b5e-08f1416c46ec/Home_Page.png","https://github.com/hamagistral/de-zoomcamp-ui","Other; Favorites","curated","unverified","review","26714","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"SWAST Handover Delays","Streamlit","data-science-at-swast","https://github.com/data-science-at-swast","https://data-science-at-swast-handover-poc-handover-yfa2kz.streamlit.app","https://data-science-at-swast-handover-poc-handover-yfa2kz.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/3fbc058c-68dc-4d30-a0a6-9b952184bfd7/Home_Page.png","https://github.com/data-science-at-swast/handover_poc","Data visualization; Finance & business","curated","unverified","review","26519","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Mito for Streamlit demo","Streamlit","mito-ds","https://github.com/mito-ds","https://mito-for-st-demo.streamlit.app","https://mito-for-st-demo.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/d58af6fc-c350-4b3c-a94f-f4b554ff7705/Home_Page.png","https://github.com/mito-ds/mito-for-streamlit-demo","Trending; Data visualization","curated","unverified","review","25723","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Arup Social Data","Streamlit","arup-group","https://github.com/arup-group","https://arup-group-social-data-run-lodl36.streamlit.app","https://arup-group-social-data-run-lodl36.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/5c3a52c7-75e7-4a47-9193-5874f7b91239/Home_Page.png","https://github.com/arup-group/social-data","Favorites; Geography & society","curated","unverified","review","25264","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Ask my PDF","Streamlit","mobarski","https://github.com/mobarski","https://ask-my-pdf.streamlit.app","https://ask-my-pdf.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/790d895c-a251-44e2-92d6-6f2e19c9f3cc/Home_Page.png","https://github.com/mobarski/ask-my-pdf","LLMs","curated","unverified","review","25171","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Generate tweets","Streamlit","kinosal","https://github.com/kinosal","https://tweets.streamlit.app","https://tweets.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/37beaf39-32dc-4eea-a2e2-72e5019731e5/Home_Page.png","https://github.com/kinosal/tweet","Favorites; LLMs","curated","unverified","review","25078","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"McLachApp","Streamlit","dmoggles","https://github.com/dmoggles","https://mclachapp.streamlit.app","https://mclachapp.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/ef43c0ca-c760-46f5-a6cf-97500fd41a10/Home_Page.png","https://github.com/dmoggles/mclachapplite","Sports & fun","curated","unverified","review","24830","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"Chat with the PDM docs, powered by LlamaIndex","Streamlit","pdm-project","https://github.com/pdm-project","https://2prxfnwkygf4vexczrbpcq.streamlit.app","https://2prxfnwkygf4vexczrbpcq.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/f2b55713-70ea-4075-86e6-8f7d0531a843/Home_Page.png","https://github.com/pdm-project/pdm","Trending; LLMs","curated","unverified","review","22850","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
"BERT Semantic Interlinking App","Streamlit","searchsolved","https://github.com/searchsolved","https://bertlinker.streamlit.app","https://bertlinker.streamlit.app?embed=true","https://storage.googleapis.com/s4a-prod-share-preview/default/st_app_screenshot_image/0172a265-eb0c-4590-989c-34f5602fd16c/Home_Page.png","https://github.com/searchsolved/seo","Trending; NLP & language","curated","unverified","review","21948","https://streamlit.io/gallery","All","2026-08-03T21:51:16"
